Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
nkfr7-sbb-02,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1452.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1452.60,,true,,,active
nkfr5-sbb-02,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1255.40,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1255.40,,true,,,active
nkfo9-sbb-01,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1743.00,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1743.00,,true,,,active
nkfo7-sbb-01,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1522.50,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1522.50,,true,,,active
nkfo5-sbb-01,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1302.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1302.10,,true,,,active
nkfl9-sbb-21,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1616.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1616.20,,true,,,active
nkfl7-sbb-21,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1427.50,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1427.50,,true,,,active
nkfl5-sbb-21,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1238.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1238.70,,true,,,active
nkdr9-sbb-24,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1375.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1375.10,,true,,,active
nkdr7-sbb-24,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1246.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1246.60,,true,,,active
nkdr5-sbb-24,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1118.20,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1118.20,,true,,,active
nkda9-sbb-32,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
nkda9-sbb-29,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
nkda9-sbb-27,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
nkda9-sbb-26,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
nkda9-sbb-24,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
nkda9-sbb-23,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
nkda9-sbb-22,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
nkda9-sbb-13,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
nkda9-sbb-12,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1730.60,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1730.60,,true,,,active
neda9-sbb-32,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
neda9-sbb-29,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
neda9-sbb-27,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
neda9-sbb-26,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
neda9-sbb-24,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
neda9-sbb-23,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
neda9-sbb-22,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
neda9-sbb-13,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
neda9-sbb-12,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1737.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1737.70,,true,,,active
lkda9-sbb-32,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
lkda9-sbb-29,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
lkda9-sbb-27,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
lkda9-sbb-26,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
lkda9-sbb-24,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
lkda9-sbb-23,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
lkda9-sbb-22,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
lkda9-sbb-13,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
lkda9-sbb-12,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1689.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1689.70,,true,,,active
nkcy9-sbb-33,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1607.40,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1607.40,,true,,,active
nkcy7-sbb-33,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1420.90,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1420.90,,true,,,active
nkcy5-sbb-33,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1234.30,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1234.30,,true,,,active
nkam9-sbb-28,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1627.70,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1627.70,,true,,,active
nkam7-sbb-28,Unknown Title,,Houston Dining Direct,,"","",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1436.10,,true,true,'0,,,,false,,,,,,,,,,,,,,,lb,,,true,1436.10,,true,,,active
